Pulsar,log10_A_RN,sigma_plus,sigma_minus
B1855+09,-14.0,0.3,-0.4
B1937+21,-13.6,0.1,-0.1
B1953+29,-12.8,0.2,-0.3
J0030+0451,-14.4,0.4,-0.5
J0437-4715,-13.4,0.2,-0.2
J0610-2100,-12.9,0.3,-0.5
J0613-0200,-13.8,0.3,-0.3
J1012+5307,-12.6,0.1,-0.1
J1600-3053,-13.5,0.2,-0.6
J1614-2230,-14.9,1.0,-0.8
J1643-1224,-12.3,0.1,-0.1
J1705-1903,-12.6,0.1,-0.1
J1713+0747,-14.1,0.1,-0.1
J1744-1134,-14.1,0.4,-0.6
J1745+1017,-11.9,0.1,-0.1
J1747-4036,-12.6,0.1,-0.2
J1802-2124,-12.2,0.2,-0.2
J1853+1303,-13.5,0.2,-0.4
J1903+0327,-12.2,0.1,-0.1
J1909-3744,-14.5,0.3,-0.4
J1946+3417,-12.5,0.1,-0.1
J2145-0750,-12.9,0.1,-0.1
J2234+0611,-13.9,0.5,-0.9
