Pulsar,RRMS_us,WRMS_us,Median_Sigma_us,Zeta,N_Observations,EFAC_mean,EQUAD_max,N_Backends
B1855+09,3.1900765287421384,0.6772623084169626,1.3517780205795178,0.5010159198524436,7758,1.0677353986145546,0.3034380811411345,4
B1937+21,0.36568841549440395,0.1886802098931682,0.15497593086156408,1.2174807329385313,23023,1.927102875336849,0.09447468020867167,8
B1953+29,6.078798090100511,3.952731698958237,3.7373208043880797,1.0576377854203038,5126,1.0849942660576666,1.8807638952296173,5
J0030+0451,5.179605121723926,1.2205084636498746,2.2929382242541885,0.5322901640958351,19579,1.0632129378996422,0.14347092023417612,5
J0437-4715,1.7768012623997698,0.36906925629169185,0.6814019428054132,0.5416322336449315,5830,3.379351392753458,0.0030903430865138084,2
J0610-2100,9.319750311229589,5.268980339167901,8.658756267675873,0.6085146845901653,4885,1.0270555093483877,1.2594182679704935,2
J0613-0200,3.203864216858505,0.9514752429637933,1.3098221356934778,0.726415607917666,17124,1.0551887292706437,0.21592723984478598,4
J1012+5307,7.876645772793028,1.7330662579415195,3.474611283635163,0.4987798969352259,25837,1.0299385942783645,0.9283257846465478,4
J1600-3053,2.6176812119257167,1.0803726474899025,1.6755542014333755,0.6447852576572474,22955,1.0181569776909503,1.70220663937844,5
J1614-2230,3.2218254810354106,1.7065380764271794,2.455642898083015,0.6949455386039148,18445,1.028438111657686,0.3034358482563675,4
J1643-1224,4.7414379124106425,2.7867112130054146,2.6902285427583896,1.035864116640476,22144,1.119719034947743,1.7732002612485491,5
J1705-1903,2.884630097759527,1.4899339295768792,1.848809085543536,0.8058884723291209,9871,1.0863437961666789,0.2280793031461099,2
J1713+0747,2.0313852345177095,0.2641105139310855,0.4697335967498411,0.5622559590340284,59389,1.0266631343138954,0.18498988270802935,10
J1744-1134,2.8076813715650775,0.5475805604117217,1.0787401855388046,0.5076111632368812,17745,1.0524011391042234,0.5413695459601972,4
J1745+1017,6.410706155561308,2.3502576710339573,3.7288728636506483,0.6302863511235413,3017,1.175752057290961,0.8728264520159824,2
J1747-4036,6.953388013616532,5.107508537696116,5.854977167616107,0.8723362007192375,11055,1.020297604944676,0.6879634819559513,2
J1802-2124,7.973348804295884,5.435952427078286,6.552456517859344,0.8296052651798727,6796,1.0646911756099144,0.8306577517584149,2
J1853+1303,4.389981679625938,1.2674453502552314,2.8938324413389913,0.4379815956686068,4570,1.030702104010059,0.8950096962197809,4
J1903+0327,4.295249757605157,2.776340526132627,2.4137716175177677,1.1502084563359443,6856,0.9746773833047699,2.418492051617039,5
J1909-3744,1.1344284041876411,0.19106116876448714,0.5250009413648458,0.36392538319604745,35037,0.9973446510900972,0.1407841460997482,5
J1946+3417,3.151152707042641,2.01233606003013,2.0172913858708537,0.9975435745795422,4743,1.0504958311151829,0.07786510804808298,2
J2145-0750,7.840173063233124,1.5540650076268108,2.411737036451558,0.6443758105209269,18675,1.028885737001325,1.0947886850243556,4
J2234+0611,3.2365575421482697,0.4311550001070199,1.353052231523196,0.31865362626958454,3566,0.9796209895517025,0.8026090304769247,2
